id,name,code,parent_id/id,type,user_type/id,reconcile
thai_rjc_54170,ค่ารักษาพยาบาลโรงงาน,54170,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54180,เงินสมทบกองทุนประกันสังคมและกองทุนทดแทนโรงงาน,54180,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54190,เงินสมทบเงินสะสมพนักงานโรงงาน,54190,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54200,ค่าอบรมและสัมมนาโรงงาน,54200,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_54210,ค่าสวัสดิการอื่นๆโรงงาน,54210,thai_rjc_54000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_55000,โสหุ้ยการผลิต,55000,thai_rjc_50000,View,account.data_account_type_view,FALSE
thai_rjc_55100,ค่าน้ำมันหล่อลื่น,55100,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_55200,ค่าวัสดุสิ้นเปลือง,55200,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_55300,ค่าไฟฟ้าโรงงาน,55300,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_55310,ค่าน้ำประปาโรงงาน,55310,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_55320,ค่ารักษาความปลอดภัยโรงงาน,55320,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_55340,ค่าโทรศัพท์โรงงาน,55340,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_55400,ค่าซ๋อมบำรุงโรงงาน,55400,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_55410,ค่าซ่อมบำรุงเครื่องจักร,55410,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
thai_rjc_55420,ค่าซ่อมบำรุงเครื่องมือเครื่องใช้โรงงาน,55420,thai_rjc_55000,Regular,account.data_account_type_cost_of_goods_sold,FALSE
